,d00t25,d00t35,d00t45,d00t55,d01t25,d01t35,d01t45,d01t55,d02t25,d02t35,d02t45,d02t55,d12t25,d12t35,d12t45,d12t55
d00t25,,,,,,,,,,,,,,,,
d00t35,,,,,,,,,,,,,,,,
d00t45,,,,,,,,,,,,,,,,
d00t55,,,,,,,,,,,,,,,,
d01t25,,,,,0,0.439937516679378,0.420576697722023,0.666792165270819,11.488508679192,9.85045531057578,15.5893786038348,8.99282829381823,0.284768380432456,4.31458851705172,1.60504164103949,1.629863352309
d01t35,,,,,0.439937516679378,0,0.0387311346165044,2.09298420099695,15.6045656997355,13.6211649086034,20.6709007557068,12.3279763353459,0.487759646146096,2.29669402253996,0.582230284132841,0.607147334276947
d01t45,,,,,0.420576697722023,0.0387311346165044,0,2.0003888537182,15.6669236399092,13.6816208019797,20.6473058716489,12.4066531350731,0.535651551496311,2.52847838708125,0.698054722087818,0.727301716558953
d01t55,,,,,0.666792165270819,2.09298420099695,2.0003888537182,0,7.95151693973542,6.73410401960872,10.7915097534868,6.37056588548999,1.30374074051511,8.10133565356974,4.09984004769307,4.09889344876673
d02t25,,,,,11.488508679192,15.6045656997355,15.6669236399092,7.95151693973542,0,0.115547975668317,0.679324883824449,0.515237151736802,11.6085903420537,25.1747495848148,18.6251620186234,18.2332977263249
d02t35,,,,,9.85045531057578,13.6211649086034,13.6816208019797,6.73410401960872,0.115547975668317,0,1.15278670756131,0.297757399169729,9.85807605218639,22.4484152397824,16.3395938928781,15.9667747590997
d02t45,,,,,15.5893786038348,20.6709007557068,20.6473058716489,10.7915097534868,0.679324883824449,1.15278670756131,0,2.17541243703524,16.0835146310771,32.1798589656921,24.4158101814942,24.0672306816893
d02t55,,,,,8.99282829381823,12.3279763353459,12.4066531350731,6.37056588548999,0.515237151736802,0.297757399169729,2.17541243703524,0,8.9420756453988,20.7046033854904,15.0244889291789,14.57936720817
d12t25,,,,,0.284768380432456,0.487759646146096,0.535651551496311,1.30374074051511,11.6085903420537,9.85807605218639,16.0835146310771,8.9420756453988,0,3.24510005476122,1.036959200615,1.01391759418094
d12t35,,,,,4.31458851705172,2.29669402253996,2.52847838708125,8.10133565356974,25.1747495848148,22.4484152397824,32.1798589656921,20.7046033854904,3.24510005476122,0,0.72427004910342,0.788746629641728
d12t45,,,,,1.60504164103949,0.582230284132841,0.698054722087818,4.09984004769307,18.6251620186234,16.3395938928781,24.4158101814942,15.0244889291789,1.036959200615,0.72427004910342,0,0.05637249146612
d12t55,,,,,1.629863352309,0.607147334276947,0.727301716558953,4.09889344876673,18.2332977263249,15.9667747590997,24.0672306816893,14.57936720817,1.01391759418094,0.788746629641728,0.05637249146612,0
